title;dir;price;Size;rooms;bathrooms;parking
Apartamento en Venta;El Poblado - Medellín;890.000.000;174;3;4;3
Apartamento en Venta;El Poblado - Medellín;1.960.000.000;279;3;5;3
Apartamento en Venta;El Poblado - Medellín;470.000.000;89;3;2;1
Apartamento en Venta;El Poblado - Medellín;940.000.000;240;4;5;2
Oficina en Venta;El Poblado - Medellín;8.800.000.000;800;;6;1
Apartamento en Venta;El Poblado - Medellín;680.000.000;159;3;3;2
Apartamento en Venta;El Poblado - Medellín;400.000.000;68;3;2;1
Oficina en Venta;El Poblado - Medellín;590.000.000;87;;2;1
Apartamento en Venta;El Poblado - Medellín;970.000.000;278;4;4;3
Apartamento en Venta;El Poblado - Medellín;590.000.000;105;3;2;2
Casa en Venta;El Poblado - Medellín;2.700.000.000;2.700;4;5;
Casa en Venta;El Poblado - Medellín;3.100.000.000;595;4;5;6
Apartamento en Venta;El Poblado - Medellín;1.200.000.000;325;3;4;3
Apartamento en Venta;El Poblado - Medellín;1.224.000.000;306;3;6;2
Oficina en Venta;El Poblado - Medellín;870.000.000;97;;;2
Apartamento en Venta;El Poblado - Medellín;700.000.000;185;3;4;2
Apartamento en Venta;El Poblado - Medellín;1.290.000.000;251;3;4;3
Apartamento en Venta;El Poblado - Medellín;560.000.000;115;3;3;2
Apartamento en Venta;El Poblado - Medellín;965.000.000;147;2;3;2
Apartamento en Venta;El Poblado - Medellín;600.000.000;148;3;2;1
Apartamento en Venta;El Poblado - Medellín;570.000.000;87;2;2;2
Apartamento en Venta;El Poblado - Medellín;800.000.000;182;3;4;2
Oficina en Venta;El Poblado - Medellín;235.000.000;35;;1;1
Apartamento en Venta;El Poblado - Medellín;480.000.000;110;3;2;1
Apartamento en Venta;El Poblado - Medellín;1.150.000.000;210;3;4;3
Apartamento en Venta;El Poblado - Medellín;1.100.000.000;255;3;4;4
Apartamento en Venta;El Poblado - Medellín;380.000.000;80;3;2;2
Apartamento en Venta;El Poblado - Medellín;680.000.000;120;3;3;2
Apartamento en Venta;El Poblado - Medellín;775.000.000;102;3;3;1
Apartamento en Venta;El Poblado - Medellín;845.000.000;156;2;3;2
Apartamento en Venta;El Poblado - Medellín;780.000.000;214;3;3;2
Edificio en Venta;El Poblado - Medellín;140.000.000.000;1.300;;;
Oficina en Venta;El Poblado - Medellín;350.000.000;64;;1;
Apartamento en Venta;El Poblado - Medellín;1.400.000.000;410;3;4;3
Apartamento en Venta;El Poblado - Medellín;800.000.000;125;3;4;3
Casa en Venta;El Poblado - Medellín;2.200.000.000;400;4;6;5
Apartamento en Venta;El Poblado - Medellín;450.000.000;80;3;2;1
Apartamento en Venta;El Poblado - Medellín;1.150.000.000;246;3;4;4
Apartamento en Venta;El Poblado - Medellín;390.000.000;90;2;3;2
Apartamento en Venta;El Poblado - Medellín;1.200.000.000;157;2;3;3
Apartamento en Venta;El Poblado - Medellín;1.330.000.000;254;3;4;3
Casa en Venta;El Poblado - Medellín;2.500.000.000;452;4;5;4
Apartamento en Venta;El Poblado - Medellín;695.000.000;197;4;4;1
Apartamento en Venta;El Poblado - Medellín;650.000.000;189;3;3;2
Apartamento en Venta;El Poblado - Medellín;1.650.000.000;234;3;4;3
Casa en Venta;El Poblado - Medellín;1.900.000.000;345;3;4;6
Casa en Venta;El Poblado - Medellín;5.000.000.000;800;5;3;4
Apartamento en Venta;El Poblado - Medellín;690.000.000;167;2;3;2
Apartamento en Venta;El Poblado - Medellín;895.000.000;237;5;4;2
Casa en Venta;El Poblado - Medellín;4.900.000.000;1.000;6;7;
Apartamento en Venta;El Poblado - Medellín;1.460.000.000;265;3;4;3
Apartamento en Venta;El Poblado - Medellín;429.000.000;89;3;2;2
Apartamento en Venta;El Poblado - Medellín;950.000.000;180;3;4;2
Apartamento en Venta;El Poblado - Medellín;885.500.000;184;3;3;2
Apartamento en Venta;El Poblado - Medellín;695.000.000;118;2;3;1
